"ob_time","hour","day","month","wind_speed","air_temperature","rltv_hum","visibility","Site"
"2020-01-01 00:00:00",0,1,1,4,4.5,88.3,700,709
"2020-01-01 01:00:00",1,1,1,4,2.7,92.7,150,709
"2020-01-01 02:00:00",2,1,1,3,2.7,96.4,150,709
"2020-01-01 03:00:00",3,1,1,5,4.6,91.7,500,709
"2020-01-01 04:00:00",4,1,1,6,4.6,90.1,500,709
"2020-01-01 05:00:00",5,1,1,5,4.5,91.6,500,709
"2020-01-01 06:00:00",6,1,1,6,4.4,90,500,709
"2020-01-01 07:00:00",7,1,1,2,3.9,91.5,500,709
"2020-01-01 08:00:00",8,1,1,1,2.8,92.8,400,709
"2020-01-01 09:00:00",9,1,1,2,3.2,96.5,400,709
"2020-01-01 10:00:00",10,1,1,2,4.5,93.2,500,709
"2020-01-01 11:00:00",11,1,1,1,5.2,88.7,500,709
"2020-01-01 12:00:00",12,1,1,1,5.6,87.3,500,709
"2020-01-01 13:00:00",13,1,1,1,5.9,87.5,500,709
"2020-01-01 14:00:00",14,1,1,1,6,86.1,600,709
"2020-01-01 15:00:00",15,1,1,1,6.1,86.1,700,709
"2020-01-01 16:00:00",16,1,1,1,6.2,86.2,700,709
"2020-01-01 17:00:00",17,1,1,2,6.2,86.2,1000,709
"2020-01-01 18:00:00",18,1,1,3,6.3,87.6,600,709
"2020-01-01 19:00:00",19,1,1,3,6.2,89.1,900,709
"2020-01-01 20:00:00",20,1,1,3,6.4,89.2,700,709
"2020-01-01 21:00:00",21,1,1,3,6.4,90.7,700,709
"2020-01-01 22:00:00",22,1,1,4,6.5,90.9,600,709
"2020-01-01 23:00:00",23,1,1,4,6.6,92.4,600,709
"2020-01-02 00:00:00",0,2,1,4,6.6,93.8,480,709
"2020-01-02 01:00:00",1,2,1,4,6.7,93.9,500,709
"2020-01-02 02:00:00",2,2,1,3,6.7,93.9,700,709
"2020-01-02 03:00:00",3,2,1,6,6.6,93.8,700,709
"2020-01-02 04:00:00",4,2,1,7,6.8,94,800,709
"2020-01-02 05:00:00",5,2,1,7,6.9,94,1000,709
"2020-01-02 06:00:00",6,2,1,5,7.2,92.6,1100,709
"2020-01-02 07:00:00",7,2,1,6,7.4,91.2,1500,709
"2020-01-02 08:00:00",8,2,1,7,7.7,89.9,1500,709
"2020-01-02 09:00:00",9,2,1,9,8,92.8,1200,709
"2020-01-02 10:00:00",10,2,1,9,8.5,91.6,2500,709
"2020-01-02 11:00:00",11,2,1,11,9.2,86.4,2500,709
"2020-01-02 12:00:00",12,2,1,10,9.8,84.2,3000,709
"2020-01-02 13:00:00",13,2,1,11,10.2,84.3,2500,709
"2020-01-02 14:00:00",14,2,1,11,10.6,77.2,3500,709
"2020-01-02 15:00:00",15,2,1,12,10.4,77,2500,709
"2020-01-02 16:00:00",16,2,1,11,10,80.5,2500,709
"2020-01-02 17:00:00",17,2,1,12,9.5,88,3000,709
"2020-01-02 18:00:00",18,2,1,12,9.6,89.3,1200,709
"2020-01-02 19:00:00",19,2,1,9,9.4,93.2,3000,709
"2020-01-02 20:00:00",20,2,1,10,10,86.9,2900,709
"2020-01-02 21:00:00",21,2,1,12,10.3,84.5,2900,709
"2020-01-02 22:00:00",22,2,1,10,10.4,85.8,3000,709
"2020-01-02 23:00:00",23,2,1,9,10.5,87.2,1900,709
"2020-01-03 00:00:00",0,3,1,10,10.1,92.1,500,709
"2020-01-03 01:00:00",1,3,1,10,9.8,96,800,709
"2020-01-03 02:00:00",2,3,1,10,9.9,97.4,460,709
"2020-01-03 03:00:00",3,3,1,9,10.2,97.3,500,709
"2020-01-03 04:00:00",4,3,1,11,10.8,94.9,1500,709
"2020-01-03 05:00:00",5,3,1,11,10.5,90.9,2700,709
"2020-01-03 06:00:00",6,3,1,11,10.1,93.5,1300,709
"2020-01-03 07:00:00",7,3,1,10,9.8,94.7,1200,709
"2020-01-03 08:00:00",8,3,1,9,9.7,96,700,709
"2020-01-03 09:00:00",9,3,1,10,9.8,97.4,400,709
"2020-01-03 10:00:00",10,3,1,16,8,85.8,2000,709
"2020-01-03 11:00:00",11,3,1,11,7.8,78.7,3000,709
"2020-01-03 12:00:00",12,3,1,13,7.6,70.1,3500,709
"2020-01-03 13:00:00",13,3,1,12,8.1,68,3000,709
"2020-01-03 14:00:00",14,3,1,12,8.2,64.1,3000,709
"2020-01-03 15:00:00",15,3,1,11,7.9,64.9,3000,709
"2020-01-03 16:00:00",16,3,1,8,7.2,68.2,4000,709
"2020-01-03 17:00:00",17,3,1,4,6.1,72.5,3500,709
"2020-01-03 18:00:00",18,3,1,7,4.7,77.2,3000,709
"2020-01-03 19:00:00",19,3,1,6,4.8,80.5,2800,709
"2020-01-03 20:00:00",20,3,1,8,4.7,80.3,2500,709
"2020-01-03 21:00:00",21,3,1,6,4.3,81.6,2500,709
"2020-01-03 22:00:00",22,3,1,4,3.8,82.9,2500,709
"2020-01-03 23:00:00",23,3,1,7,4.2,81.5,2500,709
"2020-01-04 00:00:00",0,4,1,4,4.1,83,2600,709
"2020-01-04 01:00:00",1,4,1,3,3.1,87.5,2300,709
"2020-01-04 02:00:00",2,4,1,8,3.2,89.3,2300,709
"2020-01-04 03:00:00",3,4,1,5,3.6,87.9,2300,709
"2020-01-04 04:00:00",4,4,1,9,4.4,84.9,2500,709
"2020-01-04 05:00:00",5,4,1,10,5,83.6,2700,709
"2020-01-04 06:00:00",6,4,1,6,4.7,85.2,2500,709
"2020-01-04 07:00:00",7,4,1,9,4.3,89.8,3000,709
"2020-01-04 08:00:00",8,4,1,7,4.5,88.3,3000,709
"2020-01-04 09:00:00",9,4,1,8,5.8,84.3,3000,709
"2020-01-04 10:00:00",10,4,1,10,6.8,79,4000,709
"2020-01-04 11:00:00",11,4,1,11,7.5,76.9,4000,709
"2020-01-04 12:00:00",12,4,1,9,7.8,75.6,4000,709
"2020-01-04 13:00:00",13,4,1,10,8.5,75,4000,709
"2020-01-04 14:00:00",14,4,1,12,8.9,66.3,4000,709
"2020-01-04 15:00:00",15,4,1,11,8.5,68.3,5000,709
"2020-01-04 16:00:00",16,4,1,10,8.2,70.6,5000,709
"2020-01-04 17:00:00",17,4,1,4,8.3,70.7,4000,709
"2020-01-04 18:00:00",18,4,1,6,8.1,73.2,4000,709
"2020-01-04 19:00:00",19,4,1,5,7.7,77.1,3500,709
"2020-01-04 20:00:00",20,4,1,5,7.2,79.3,3000,709
"2020-01-04 21:00:00",21,4,1,4,6.9,82.1,2500,709
"2020-01-04 22:00:00",22,4,1,5,6.8,84.9,2300,709
"2020-01-04 23:00:00",23,4,1,5,6.8,84.9,2300,709
"2020-01-05 00:00:00",0,5,1,3,6.6,86.4,2300,709
"2020-01-05 01:00:00",1,5,1,6,6.8,89.5,2100,709
"2020-01-05 02:00:00",2,5,1,6,7,89.5,2700,709
"2020-01-05 03:00:00",3,5,1,6,7.1,89.6,3000,709
"2020-01-05 04:00:00",4,5,1,7,7.1,88.1,4000,709
"2020-01-05 05:00:00",5,5,1,7,6.8,90.9,3500,709
"2020-01-05 06:00:00",6,5,1,8,6.6,92.4,3000,709
"2020-01-05 07:00:00",7,5,1,6,6.4,92.3,4000,709
"2020-01-05 08:00:00",8,5,1,5,6.4,90.6,4000,709
"2020-01-05 09:00:00",9,5,1,7,6.5,90.8,4000,709
"2020-01-05 10:00:00",10,5,1,6,7.3,85.2,4000,709
"2020-01-05 11:00:00",11,5,1,7,8.1,80.2,5000,709
"2020-01-05 12:00:00",12,5,1,11,8.8,75.3,5000,709
"2020-01-05 13:00:00",13,5,1,12,8.8,72.6,5000,709
"2020-01-05 14:00:00",14,5,1,11,8.8,71.4,5000,709
"2020-01-05 15:00:00",15,5,1,9,8.7,73.9,5000,709
"2020-01-05 16:00:00",16,5,1,7,8.6,72.5,5000,709
"2020-01-05 17:00:00",17,5,1,8,8.4,73.5,5000,709
"2020-01-05 18:00:00",18,5,1,8,8.3,74.9,5000,709
"2020-01-05 19:00:00",19,5,1,9,8.3,74.9,5000,709
"2020-01-05 20:00:00",20,5,1,7,8,78.7,4000,709
"2020-01-05 21:00:00",21,5,1,6,7.9,81.4,4500,709
"2020-01-05 22:00:00",22,5,1,7,7.9,81.4,3500,709
"2020-01-05 23:00:00",23,5,1,6,7.8,82.7,3500,709
"2020-01-06 00:00:00",0,6,1,6,7.7,84.2,3000,709
"2020-01-06 01:00:00",1,6,1,5,7.6,85.5,2900,709
"2020-01-06 02:00:00",2,6,1,8,7.7,82.7,3500,709
"2020-01-06 03:00:00",3,6,1,11,7.6,74.1,4000,709
"2020-01-06 04:00:00",4,6,1,10,7.1,73.6,4000,709
"2020-01-06 05:00:00",5,6,1,9,6.8,74.9,3500,709
"2020-01-06 06:00:00",6,6,1,9,6.7,76.2,3000,709
"2020-01-06 07:00:00",7,6,1,10,6.8,76.3,3000,709
"2020-01-06 08:00:00",8,6,1,11,6.8,76.3,3000,709
"2020-01-06 09:00:00",9,6,1,8,6.7,76.2,3000,709
"2020-01-06 10:00:00",10,6,1,14,7,73.7,3000,709
"2020-01-06 11:00:00",11,6,1,15,7.3,73.9,3000,709
"2020-01-06 12:00:00",12,6,1,14,7.7,73,3000,709
"2020-01-06 13:00:00",13,6,1,11,7.4,74.1,3000,709
"2020-01-06 14:00:00",14,6,1,14,7.9,76,3000,709
"2020-01-06 15:00:00",15,6,1,11,8.6,76.7,3000,709
"2020-01-06 16:00:00",16,6,1,11,8,88.6,2500,709
"2020-01-06 17:00:00",17,6,1,9,8.2,90.1,2500,709
"2020-01-06 18:00:00",18,6,1,9,8.7,94.4,1500,709
"2020-01-06 19:00:00",19,6,1,6,8.4,94.3,2000,709
"2020-01-06 20:00:00",20,6,1,7,8,92.8,3000,709
"2020-01-06 21:00:00",21,6,1,9,7.6,92.7,2000,709
"2020-01-06 22:00:00",22,6,1,7,7.2,92.6,1500,709
"2020-01-06 23:00:00",23,6,1,4,6.5,93.9,1000,709
"2020-01-07 00:00:00",0,7,1,5,5.9,95.3,700,709
"2020-01-07 01:00:00",1,7,1,5,5.7,95.2,800,709
"2020-01-07 02:00:00",2,7,1,4,5.3,96.9,800,709
"2020-01-07 03:00:00",3,7,1,6,3.9,96.5,600,709
"2020-01-07 04:00:00",4,7,1,3,4.7,98.4,800,709
"2020-01-07 05:00:00",5,7,1,3,4.9,98.4,800,709
"2020-01-07 06:00:00",6,7,1,4,5.4,98.4,1000,709
"2020-01-07 07:00:00",7,7,1,6,6.5,95.4,1000,709
"2020-01-07 08:00:00",8,7,1,8,6.7,95.4,800,709
"2020-01-07 09:00:00",9,7,1,9,8.1,94.3,1000,709
"2020-01-07 10:00:00",10,7,1,7,8.9,91.7,1200,709
"2020-01-07 11:00:00",11,7,1,10,10.5,85.8,1200,709
"2020-01-07 12:00:00",12,7,1,14,11.3,78.9,1200,709
"2020-01-07 13:00:00",13,7,1,14,11.5,79.1,1200,709
"2020-01-07 14:00:00",14,7,1,11,11.4,80.2,1400,709
"2020-01-07 15:00:00",15,7,1,10,11.2,83.7,2000,709
"2020-01-07 16:00:00",16,7,1,15,11.3,90,2500,709
"2020-01-07 17:00:00",17,7,1,12,11.6,91.3,3000,709
"2020-01-07 18:00:00",18,7,1,14,11.5,95,700,709
"2020-01-07 19:00:00",19,7,1,10,11.9,96.3,1500,709
