"ob_time","hour","day","month","wind_speed","air_temperature","rltv_hum","visibility","Site"
"01/01/2020 00:00",0,1,1,24,8,81.8,1000,4
"01/01/2020 01:00",1,1,1,20,8,81.8,1000,4
"01/01/2020 02:00",2,1,1,24,8,76.3,1000,4
"01/01/2020 03:00",3,1,1,26,8,81.8,1000,4
"01/01/2020 04:00",4,1,1,26,8,81.8,1000,4
"01/01/2020 05:00",5,1,1,28,8,87.3,1000,4
"01/01/2020 06:00",6,1,1,26,9,81.2,1000,4
"01/01/2020 07:00",7,1,1,20,9,81.2,800,4
"01/01/2020 08:00",8,1,1,20,8,87.3,1000,4
"01/01/2020 09:00",9,1,1,30,9,81.2,1000,4
"01/01/2020 10:00",10,1,1,28,9,81.2,1000,4
"01/01/2020 11:00",11,1,1,19,9,81.2,700,4
"01/01/2020 12:00",12,1,1,25,9,81.2,1000,4
"01/01/2020 13:00",13,1,1,28,9,87.8,1000,4
"01/01/2020 14:00",14,1,1,28,9,87.8,1000,4
"01/01/2020 15:00",15,1,1,25,9,87.8,900,4
"01/01/2020 16:00",16,1,1,22,9,81.2,800,4
"01/01/2020 17:00",17,1,1,19,9,81.2,900,4
"01/01/2020 18:00",18,1,1,18,9,81.2,1000,4
"01/01/2020 19:00",19,1,1,19,9,81.2,1000,4
"01/01/2020 20:00",20,1,1,21,8,87.3,1000,4
"01/01/2020 21:00",21,1,1,24,8,87.3,1000,4
"01/01/2020 22:00",22,1,1,20,8,81.8,1000,4
"01/01/2020 23:00",23,1,1,23,8,81.8,1000,4
"02/01/2020 00:00",0,2,1,23,8,81.8,1000,4
"02/01/2020 01:00",1,2,1,23,9,76,1000,4
"02/01/2020 02:00",2,2,1,22,9,81.2,1000,4
"02/01/2020 03:00",3,2,1,22,9,81.2,1000,4
"02/01/2020 04:00",4,2,1,23,9,81.2,800,4
"02/01/2020 05:00",5,2,1,21,9,81.2,600,4
"02/01/2020 06:00",6,2,1,16,9,81.2,1000,4
"02/01/2020 07:00",7,2,1,19,9,81.2,1000,4
"02/01/2020 08:00",8,2,1,24,10,75.6,1000,4
"02/01/2020 09:00",9,2,1,25,10,75.6,1000,4
"02/01/2020 10:00",10,2,1,27,10,75.6,1000,4
"02/01/2020 11:00",11,2,1,24,9,87.8,900,4
"02/01/2020 12:00",12,2,1,24,10,81.9,900,4
"02/01/2020 13:00",13,2,1,25,9,87.8,1000,4
"02/01/2020 14:00",14,2,1,27,9,87.8,1000,4
"02/01/2020 15:00",15,2,1,25,9,87.8,1000,4
