PROBE_ID_REF,GENE_IDENTIFIER,GSM12587,GSM12588,GSM12589,GSM12590,GSM12591,GSM12592,GSM12593,GSM12594,GSM12595,GSM12596,GSM12597,GSM12598,GSM12599,GSM12600,GSM12601,GSM12602,GSM12603,GSM12604,GSM12605,GSM12606
J05070_at,MMP9,1300.9,418.6,406.7,327.7,200.4,344.1,9270.6,975.2,200.2,747.3,501.5,1637.6,183.1,209.7,260.4,247.8,342.6,329.3,179.6,142.1
J05073_at,PGAM2,9.2,3.1,8.7,31.2,4.6,11.1,12.5,8.2,5.8,19.4,11.1,31.7,21.3,10.3,9.7,9.8,16,10.7,3.6,15.8
J05096_rna1_at,ATP1A2,26.6,22,6.4,21.4,18.1,16.8,17.5,28.1,43.4,20.9,10.5,31.8,28.2,12.9,23.9,32,10.4,18.2,30.8,23.6
J05125_at,PNLIP,5.5,13.8,21.1,17.4,2.4,13.2,2.2,7.5,7.7,3.3,9.9,5.4,30.4,3.3,6.1,3.3,60.7,34.5,3.9,23.7
J05158_at,CPN2,121.9,207.7,44.2,104.2,128.9,98.2,20.1,87.4,52.1,25.2,28.1,31.8,64,25.8,105.5,107.5,130.4,31.5,120.1,156.1
J05200_rna1_s_at,RYR1,20.3,7.4,13.3,21.8,9.9,7.8,6,41.1,44.1,6.8,54.7,8.1,14.4,11.9,15.1,29.3,40.6,55,7,90.4
J05213_at,IBSP,15.9,15.5,18.5,66.3,8.3,6.5,10.8,15.7,23.7,10.9,7.2,12.8,14.1,11.8,21.8,11.5,15.5,9.5,27.1,11.6
J05243_at,SPTAN1,637.6,141.9,509.7,461.7,531.6,674.3,276.6,684.5,632.2,485.5,644.2,463.6,507.8,633.8,543.2,576.9,389.3,346.4,451.5,368.5
J05249_at,RPA2,1148.2,900.7,602.8,671.5,1891.1,1425.4,1016.6,1266.3,1215.8,846.9,1794.2,901.9,744.1,1364.9,1103.6,1080.2,1080.5,1158.5,1074.6,1379.2
J05252_s_at,PCSK2,59.9,16.4,44.5,39.7,58.8,55.7,69,32.7,19,40.9,60,21.5,48.8,56.8,28.4,13,37.9,84.7,47,95.3
J05253_s_at,RBP3,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
J05257_at,DPEP1,82.1,78.6,29.1,97,42.7,66.3,36.8,79.1,87.4,34.4,20.6,40.8,52.3,31.4,105.3,26.2,60.9,50.8,76.7,43.9
J05272_at,IMPDH1,1861.2,1398.5,1131.1,1184.4,1528.5,1019.6,1561.8,1208.7,1170.1,1266.9,1758.7,1960.3,1294.6,1482.1,1028.8,929.8,912.7,890.5,921,985
J05401_at,CKMT2,32,12.4,20.7,9,7.8,30.1,8.6,25.2,9.2,9.4,22.3,9.7,12.3,5.5,12.1,18.3,48.6,7.7,22.1,21
J05412_at,REG1A,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
J05428_at,UGT2B7,8.2,39,3.9,17.2,3.4,3.5,5.8,6.2,7.2,4.5,3.8,20.2,4.8,15.6,6.1,28.9,41.2,5.8,4.3,4.8
J05448_at,POLR2C,371.6,269.9,184.7,291.8,358.2,208.8,276.8,370.4,499.5,475.3,535.9,360.5,189.2,299.6,370.6,336.1,208.5,288.9,348.4,387
J05459_at,GSTM3,13.5,70.6,45.6,80,53.2,67.5,87.2,51.8,61.3,34.3,10.8,17.8,43.9,70.8,82.8,45.9,101.2,86,81.1,96.5
J05500_at,SPTB,169.6,202,169.5,286,70.3,126.9,175.3,113.4,158.9,769.8,135.2,282.9,173.1,113.7,162.5,94.9,146.1,67.6,99.2,65.3
J05556_at,MMP8,95.7,49.6,543.3,188.9,82.5,123.9,813.2,270.9,33.2,43.2,100.3,372.4,8,35.1,15.8,69.1,262.8,340.5,9.5,57.3
J05582_s_at,MUC1,42.2,59.5,117,22.8,59.4,33.5,77.7,21.5,54.6,69.4,34.7,23.3,34.5,112.9,37.7,14.1,53.5,47.7,59.4,74.2
J05614_at,PCNA,2225.7,704.2,1564.3,1467.8,2043.6,2284,1893.6,2497.7,1952,1247.9,1445.7,2540.4,1332.8,1555.5,1645.5,1689.8,1215.4,1195.6,1415.1,1616.8
J05633_at,ITGB5,146.5,172.8,174.2,209.2,301.6,502.7,491,402.7,96.8,454.6,542.4,213.2,175,362.3,253.5,117.7,236.8,252.9,98,180.9
J05682_at,ATP6V1C1,111.7,118.1,90.7,124.4,161.8,110.6,292.7,152.9,142.1,102.3,123.6,156.3,117.3,91,134.9,100,99.7,128.1,148.3,94.8
K01160_s_at,LOC100509457,663.9,222.1,23.8,3.4,4.7,7.3,3.6,3,464,1960.5,1945.7,456.7,7.1,415.3,531.6,830,472.7,20.2,913.6,476.5
K01383_at,MT1A,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K01396_at,SERPINA1,9782.9,3181.4,4879.2,6362.2,2536.5,3089.2,2979.1,4706.4,4737.8,2062.5,4309.2,8676.9,5689,3186.7,2875.8,2856.5,4131.3,2287.3,3255.2,4730.5
K01884_at,K01884,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K01900_at,IFNA8,32.5,27.5,40.3,44.4,13.3,13.2,20.6,4.8,31.9,14.4,29,49.7,6.9,22.5,19.7,22.5,39.7,39,17.6,24.2
K01911_at,NPY,61.4,21.7,60.7,65.8,43.1,36.2,56.5,29.6,64.6,34,9.3,18,73.6,25.7,66.6,21.1,17.5,108.5,47.1,55.8
K02054_at,GRP,6.3,39,8.4,9.8,5.8,8.4,32.1,6.1,18.1,47,6.8,18.2,51.4,20.3,8.3,15.4,20.1,49.4,5.1,41.3
K02100_at,OTC,8,3.8,7.5,8.9,29.7,36.3,8.8,8.9,31,13.5,4.5,19.6,28.2,16.5,10.6,10.4,14.9,11.1,6.3,6.9
K02215_at,AGT,13.3,42.2,22.9,32.5,9.5,6.6,6.8,2.2,8.6,31.8,1.6,20.2,18.1,9.6,5.6,4.7,81.4,6.9,11.7,5.1
K02268_at,PDYN,17.5,25.6,9.5,17.9,11.5,15.1,55.4,15.5,16.3,11.2,16.3,44.7,30.6,7.3,8.8,15.6,24.4,22.5,9.2,16.6
K02402_at,F9,23.8,6.5,5.8,5.2,2.4,4.9,6.6,2.8,4,2.4,3.6,13,17.7,1.4,1.4,6.3,8.7,5.2,4.1,4.1
K02405_f_at,LOC101060835,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K02545_cds2_at,TRBD1,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K02574_at,PNP,1680.2,724.2,1047.5,1316.8,854.5,912.5,972.5,1994.5,1196.2,956.7,1088.9,1875,1326,805.5,857.4,549.9,1151,1232.6,670.9,1333.8
K02765_at,C3,16.8,17.4,19.3,7.8,13.4,17.2,11.2,11,14.8,16,53.6,28.5,49.9,15.9,10.1,9.5,29.9,11.7,6.6,25
K02766_at,C9,6.1,5.9,2,2.9,3.7,7.2,2.4,4.3,4.7,4.7,12.6,3,2.5,2.3,3.9,5.7,5.3,45.9,2.3,1.3
K02777_s_at,TRAC,1155.4,702.7,1695.9,2016,1112.6,1839.1,442,1262.8,612.6,981.4,1808.7,659.4,1153.3,1328.1,2159.6,2244.7,1128.7,1222.2,1367.6,2274.7
K02882_cds1_s_at,IGHD,683.3,181.6,767.7,404,435.2,184.8,1152.6,684,321.3,1415.8,724.6,323.1,672.7,952.7,704.4,482.5,259.1,359.2,568.7,377.5
K03008_cds1_at,CRYGC,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K03008_cds2_at,CRYGD,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K03021_at,PLAT,6.4,7.4,4.5,5.6,5.4,6.2,3.6,6.5,5.9,3.6,4.4,7.6,6.2,6.6,4.2,9.8,19.7,17.6,1.8,14.5
K03183_f_at,CGB2,392.9,434.1,468.4,450.6,431.9,370.4,617.4,302.7,538.5,415.4,488.9,377.9,306.4,525.4,376.6,316.8,371.6,560,589.9,428.9
K03189_f_at,CGB2,356.6,357.2,459.4,358.6,342.4,495.5,422.4,454.6,350.6,394.8,283.7,319.4,417.2,319.7,429.2,338.1,317.3,454.5,359.2,350.1
K03192_f_at,CYP2A6,50.3,28.6,57.5,88.1,76.2,54.5,51.6,20.5,29.8,40.9,38.5,83.3,67.1,59.5,35.3,55,26.4,57.1,40.9,27.8
K03195_at,SLC2A1,91.6,86,108.6,113.6,123.8,71.8,74,106,125.9,107.6,105.2,99.3,115.3,74.7,93,104.1,127.2,119.6,85.5,93.9
K03204_f_at,PRB1,7.8,28.5,24.1,13.5,7.1,6.5,14.3,22.5,14.1,15.4,5.8,8.8,11.3,19.7,4.2,8.4,15,15.8,10.6,13.1
K03207_f_at,PRB4,30.4,93,73.4,31.5,44.5,33.6,57.2,29.5,132.4,54.4,21.7,46,39.9,19.7,39.1,63.2,41.2,36.9,34.5,40.2
K03218_at,SRC,190.6,176.9,182.8,112.2,142.1,181.9,145.1,160.5,90.1,206.3,189.8,107.4,117.3,258.7,128.5,171.4,211.8,210.7,115.5,370
K03430_at,C1QB,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K03431_cds1_at,HP,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K03460_at,LOC101930571,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K03474_at,MIR4321,23.7,17.4,47.4,60.2,24.8,18.9,28.2,13.8,94.8,70.5,9.8,53.3,25,30.8,54.8,12.5,18.5,74.6,13.6,23.3
K03494_s_at,OPN1MW3,6.1,5.2,10.7,9,7.1,6.8,5.1,6.5,9.5,4.9,5.9,18.1,16.9,5.5,10.3,7.8,12.9,14.1,8.6,6.4
K03498_xpt1_s_at,ERVK-19,104.2,24.5,78.5,41.2,42.1,53.2,76.2,28.2,35.2,30.7,50.6,90.8,86,24.3,67.3,34.2,31.4,56,39.5,34.6
K03515_at,GPI,2515.3,1072.1,2560.2,2207.7,2058.2,2280.6,2645.5,2012.5,2487.9,2115.7,1944.9,3302.6,1847.8,2335.4,1693.7,1616.8,1910.9,1923.6,1591.7,2090.2
L00022_s_at,IGH,23.5,9.4,85.4,33.2,15.8,65.4,68,21.5,14.6,60.1,8.7,35.9,175.7,16.7,19.9,9.5,26.2,17.5,15.3,15.8
L00058_at,MYC,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
L00137_cds1_at,GHRH,110.3,58,56.2,81.5,25.5,143.7,90.7,64.5,60.6,31.6,48.7,76.4,112.2,31.5,67.2,108.4,97.6,38.4,61.8,61.6
L00190_s_at,SERPINC1,30.8,53.1,17.5,68.8,11.9,36.8,12.7,8.2,12.4,9.6,5.6,10.5,62.7,19.8,11.6,7.8,85,16.2,28.9,62.8
L00205_at,KRT6B,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
L00352_at,LDLR,748.9,187.2,1756.9,354.8,537.4,384.2,205.6,686.6,436.5,181.2,342.1,535.9,361,308.2,199.2,136.3,162,174.7,282.3,261
L00354_at,CCK,4.1,6,2,4.2,1.4,2,4.6,2.4,3.6,5,1.6,6.1,62,1.8,1.9,3,4.4,11.3,1.8,8
L00389_f_at,CYP1A2,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
L00634_s_at,FNTA,221.4,121.7,249,130.4,259.5,230,152.2,270.3,245.8,270,414.6,140,157.6,213.8,222.5,240.6,207,179.3,241.8,190.3
L00635_at,CHURC1-FNTB,72.9,171.3,117.4,157.2,313.6,203.9,264.6,236.4,107.7,168.5,160.2,129.7,181.7,393,153.5,160.8,220.8,182.1,255.4,183.9
L00972_at,CBS,59.3,97.4,28,25.7,88.3,56.9,104.5,88.9,64.4,53.1,27.4,18.5,74.8,37.6,76.8,67.6,101.8,36.7,63.1,72.5
L01042_at,TMF1,88.3,79.5,48.7,82.7,89.3,94.5,92.9,108.5,34.9,66.7,92.4,65.5,45.9,52.5,114.9,80.1,10,87.2,108.3,135.9
L01087_at,PRKCQ,454.3,245.2,672.2,466.5,531.1,408,190.1,448,459.3,213.8,407.6,244.3,351.7,242,373.3,447.9,339,461.5,281.1,638.7
L01406_at,GHRHR,32.3,22.2,29.4,26.4,20.6,17.5,20.8,28.8,33.2,30.6,21,25.4,42.2,18.9,20.8,17.2,31.8,30.3,21.5,27.5
L01664_at,CLC,4362.9,1469.7,868.8,1245.6,1797.5,2343,339.3,2736.5,4449.6,63.6,1073.9,2249.8,1289.4,580.8,1108.1,1173.5,879.3,1766.1,1114.5,1008.4
L02320_at,RDX,14.2,7.8,10.7,34.1,3.6,4.4,5.3,48.9,7.7,2.9,20.9,9,7.8,8.4,14.5,6.3,53,9.1,14.8,22.8
L02321_at,GSTM5,226.5,202.3,231.8,211.4,175.5,190,237.6,213.1,204.8,179.2,145.2,148.8,245.1,120.4,206.1,208.3,189.6,173.2,204.2,170.7
L02326_f_at,GUSBP11,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
L02426_at,PSMC1,1171.6,569.8,860,1045.8,1019.9,1111.6,1074.8,1245.1,857.3,451.3,865.5,1079.4,906,479,844.7,822.2,545.3,580.8,691.5,822.9
L02547_at,CSTF1,114.5,67.8,99.4,84.3,122.1,100.4,75.2,121.6,136.6,47.5,127.2,117.8,23,82.3,111.8,97.9,98.9,96.3,101,185
L02648_at,TCN2,583.2,219.3,190.5,330.6,225.3,204,593.6,370.5,149.7,389,281,260.9,296.3,227.8,165.2,80,101.2,80.1,148.5,241.4
L02785_at,SLC26A3,4.3,13.4,4,5.8,1.9,4,1.7,2.4,6.1,1.5,16.7,18.4,8.9,2,6.7,10,13,6.1,3.9,13.1
L02840_at,KCNB1,26.9,22.6,21.7,40.9,13.7,5,10.3,4.7,14.3,42.8,31.2,47.6,11.9,12.9,35.5,11.7,89.5,17.5,5.3,55.6
L02867_at,CDR2L,110.6,116.9,133.1,51.9,139.9,99.7,99.9,54.1,134.4,148.7,69.6,181.3,27.5,74.9,123.9,89.8,74.5,47.4,145.7,47.3
L02932_at,PPARA,7.5,8.4,3.4,8.9,36.7,9.6,9.7,7.2,8.6,8.2,33.2,73.8,13.5,27.6,12.8,27.9,10,16,36.4,15.6
L02950_at,CRYM,23.3,38.9,20.6,34.1,10.7,36.2,26.8,21.6,17.8,27,23.9,24.7,34.4,30.5,22.1,17.2,78.6,43.1,18.4,37.9
L03411_s_at,MIR1236,636.8,562.5,479.3,560.8,840.2,558.4,576.6,637.3,591.9,859.1,1070.4,589,402.3,888.1,404.2,518.5,351.9,345.3,534,667
L03427_at,BNC1,2.6,3.1,3.1,2.8,1.6,1.7,1.8,2.1,2.4,1.4,1.6,3.7,5,1.9,2.9,2.4,5.9,3.2,1.8,1.8
L03532_at,HNRNPM,1163.8,1018.4,1040.6,1449.8,1420.1,1322.7,911.1,1432.9,1292.7,1617.6,2469.5,1034.8,841.4,1848.1,1240.4,1175.5,790.8,792.1,1160.3,1120.8
L03785_at,MYL5,97.1,92.7,98.5,141.2,73.5,117.2,86.6,99.6,113.2,150,127.2,182.4,168,125.9,142.8,138.2,122.1,102.7,89,156.5
L03840_s_at,FGFR4,121,55.1,152.5,43.8,123.3,60.2,85.4,79.8,89.6,94.2,51.9,166.7,96.7,118.3,129.1,113.5,49.5,70.1,95.4,167.2
L04270_at,LTBR,758.7,777.1,387.7,431.7,524.1,451.5,845.5,648.9,428.4,994.7,993.7,800.7,564,816.4,247,272.2,428.9,75.6,319.4,449.3
L04282_at,ZNF148,164,208.8,79.8,463.5,613.6,410.1,445.4,358.9,137.7,450.5,555.6,42.5,97.5,519.8,680.1,572.1,196.2,243.7,556.9,292.6
L04483_s_at,RPS21,24249.6,22381.8,28404.8,22513.6,18798.4,20476.6,18654,17266.5,23796.4,19245.7,21278.2,31978.6,29572.3,18762.2,20842.7,20992.7,23901.6,22437.3,15399.3,31137
L04490_at,NDUFA9,1477.5,994.6,825.9,1208.4,1433.7,1335.1,1183,1313.8,867,453.5,1438.7,1355.6,668.1,633.5,958.3,650,767,678.2,944.2,704.5
L04510_at,TRIM23,103.9,84.8,53.1,89.2,62.2,58.6,56.2,79.4,66.5,75,71.6,79.1,34.9,87.9,73,72.2,105,43.2,58.9,81.1
L04569_at,CACNA1C,6.8,15.4,8.8,19.2,6.7,8,10.1,13.7,10.3,9.1,6.6,16.2,20.3,14.8,8.6,16.1,8.3,12.1,10,10.6
L04656_at,CA8,42.5,79.8,59.6,73.6,68.2,91.3,45.1,59.1,57,60.9,38.8,46.4,54,47.9,49.1,79.7,110.3,42.2,51.5,9.7
L04731_at,KMT2A,188.1,123.1,167.2,247.9,281.9,447.8,238.7,355.1,338.9,379.8,312.8,93.3,208.7,299.2,435.8,448.3,252.6,276,374.6,273.3
L04733_at,KLC1,931.7,550.4,698,642.6,967.4,968.9,822.1,844.3,1044.1,1058.3,1463.7,898.7,679.3,1042,733.4,601.3,696.4,744.9,674.8,669.5
L04751_at,CYP4A22,112.5,183.2,143.7,123.2,74.8,105.6,22.8,82.9,155.1,88.5,98.1,71.2,81.3,56.1,107.3,159.8,72.1,100.8,126.1,105.7
L04947_at,KDR,16.2,9.9,15.9,10.9,4.3,10,8,15.1,11.7,13.4,11.4,27.6,7.6,10.6,14.7,21.6,10.2,9.9,12.1,16.1
L04953_at,APBA1,66.6,93.2,85.3,67.2,58.2,54.4,49.3,60.5,30.4,51.5,55.4,29.5,20,133.8,71.7,76.1,62.1,67.6,64.9,83.8
L05072_s_at,IRF1,4505.3,736.3,1950.1,1238.7,1498.4,1146.1,744.6,1931.7,1699.7,1435.5,1968.2,1656.2,1558.5,2875,635.7,669.8,544.5,623.2,779.6,1155.8
L05144_at,PCK1,39,51.4,51.1,53.5,20.7,46.7,27.8,39.5,69.6,5.6,26.4,83.9,51.6,24.8,72.8,53.5,47.2,55,68.1,45.1
L05147_at,DUSP3,46.7,49.7,22.1,193.7,118.5,82.3,173.6,134.5,51.2,144.3,167.1,87.9,26.2,238.1,110.5,90,69.3,63.1,118,115.7
L05148_at,ZAP70,1340,789.3,1352.9,1371.4,2451.7,1970.2,518.7,2081.9,2760,1310,2682.1,1248,1243,1454.5,1721.6,2067.1,1208.5,1622.7,2072.3,1834.8
L05187_at,SPRR1A,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
L05188_f_at,SPRR2B,34.9,188.1,140.4,145.8,161.1,103.1,154.3,116.3,227,50.8,108.9,129.5,226.8,114.1,148.6,153,127.2,167.2,121.5,164.6
L05424_cds2_at,CD44,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
L05425_at,GNL2,294.5,122.4,179.8,164.2,250.9,272,197,170.8,199.3,142,179.2,232.3,136.3,131,193,152.3,88.7,250.2,221.3,205.5
L05500_at,ADCY1,34.7,26.9,19.4,20.4,16.1,16.7,21.5,19.9,23.5,14.7,16.5,24.6,15.4,15.2,18.6,27.9,59.1,22.1,15.4,20.5
L05512_at,HTN1,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
L05514_f_at,HTN3,13.3,32.1,9.1,3.8,7.5,12,4.7,3,3.2,24.9,19.8,12.1,2.9,8.3,7.7,3.7,27.1,10.1,15,13.9
L05515_at,LOC401317,141.2,60.1,29.3,41.7,7.9,25.4,215.8,79.2,13.8,193.4,40.6,11.3,17.1,97.6,60.8,50.3,13,10.8,11.9,74.2
L05568_at,SLC6A4,74.1,74.7,15.2,44.4,75.8,93.8,107.4,69.1,7.6,41,77.4,55.3,39.7,57.3,85.5,41.1,42,87,68,54.2
L05597_at,HTR1F,21.7,21.1,2.4,2.6,0.8,2.8,10.5,0.9,3.9,1.3,6,3.3,4.6,1.3,3.7,2.1,5.2,3.7,1.8,4.1
L05606_at,MYBPH,21.8,21.5,22.9,20.8,5.6,16,7.7,10.8,24.4,17.2,6,10.6,26.9,34.9,19.2,23.3,32.5,19.2,9.4,30.2
L05624_s_at,MAP2K1,745.1,424.7,684.3,734.7,609.5,580.3,646.5,879.3,741.5,672.7,1525,892,527.3,1075.9,649.9,687.6,461.9,513.5,616,835.5
L05628_s_at,ABCC1,8.5,16.3,14,42.2,14.4,15.7,16.3,83.3,19.3,24.2,103.2,9.7,10.9,66.1,46.6,60.4,50.5,23.8,13.9,32.5
L05779_at,EPHX2,154,165.4,228.9,283.5,223,337.7,82.2,185.9,147.3,181.8,323.3,92,299.6,104.9,340.2,353.9,187.6,266.3,205.7,340.2
L06132_at,VDAC1,445.4,360.5,316.7,328.1,592.2,457.3,523.1,572.5,415.4,450.8,535.4,418.2,309.8,406.6,406.1,389.6,265,391.3,526.5,499.7
L06133_at,ATP7A,71.3,46.3,43.6,60,23.7,36.1,31.1,19.9,49.6,32.4,35,41,32.3,42.3,48.1,60.9,4.6,55.2,66.5,53.9
L06139_at,TEK,10.1,9.6,25.2,6,6.6,4.4,5.4,4.1,6.9,2.8,5.3,18.1,6.9,3.8,5.5,44.1,14,9.1,6.9,4.6
L06147_at,GOLGA2,29.5,25,31,38,41.6,32.9,28.9,28.4,44.6,36.8,28.4,32,28.9,38.6,70.5,61.6,37.6,37.7,40.6,31.7
L06175_at,HCP5,442.3,147.1,592.4,177.5,223.8,160.8,184.3,466.8,751.9,154.4,234.7,254.1,249.1,264.4,211.4,213.3,314.3,427,475.5,457.9
L06419_at,PLOD1,884.6,537,652.3,635.7,982.8,637,989.2,857.5,979.9,587.4,1019.3,998.6,564.7,955.6,401,538.6,690,593.7,626.6,972.4
L06499_at,RPL37A,30676.2,29765.5,30593.1,25412.8,21730.6,23067.2,21663.8,20413.9,26730.8,21033,22902.8,37151.9,32370.3,21243.3,23904.2,23521.3,26328.3,27256,19020.8,34538.6
L06505_at,RPL12,14491,10676.5,14031.4,13264.4,13892.2,11896.3,12613.9,9674.7,11203.2,10562.6,14354.8,14104.4,13955.3,9864.4,13835.1,10670.5,11363.9,12424.9,10219.4,17995.1
L06633_at,CYTIP,440.1,216.2,382.4,454.1,451.8,537.6,406.8,390.6,298.2,186,473.4,247.4,302.8,366.6,455.3,376.7,147,279.2,519.7,392.7
L06797_s_at,CXCR4,4623.9,2523.9,5503.9,4961.3,5158.4,3501.9,4995.1,2985.7,2265.4,2903.1,4277.6,1705.3,3682.5,3918.3,3382.5,5175.8,1168.6,1723.4,3564.4,3807.6
L06845_at,CARS,409.3,187,309.7,264.2,418.7,371.5,357.2,317.8,206.2,289.1,467.4,436.8,145,610.7,237.8,251.5,471.1,280.4,323,267.9
L06895_at,MXD1,258.1,225.1,45.4,174.8,120.2,85.7,399.2,83.5,14.2,103.3,281,37.6,78.8,334.2,104.8,26.6,90.1,68.5,64.1,95.2
L07033_at,HMGCL,303.1,289.6,165.1,194.1,259.5,307.7,235.5,326.7,187.4,182.2,366.6,388,301.2,289.2,215,169.7,279.3,274.1,197.1,301.8
L07044_at,CAMK2G,383.7,244,309.5,243.2,316.8,337.4,322.9,334.4,340,436.7,621.7,389.5,381,617.2,298.4,286.7,376.5,244.1,205.6,147.6
L07077_at,EHHADH,38.9,17.8,15.7,9,17.7,15,14.1,27.3,6.8,17.4,9.8,20.2,38.1,20.9,2.3,2,18.8,22,18.2,37.1
L07261_s_at,ADD1,10.7,105.5,9.3,169.8,368.6,310.2,335.4,212.8,6.2,445.6,658.4,23.2,12.6,619.9,255.4,248.4,126.2,276.6,273.8,247.9
L07493_at,RPA3,182.3,140.2,173,133.5,241.9,197.8,129,206.5,181.8,162.8,215.8,161.2,179,112.4,173.4,131.1,125.1,120.8,193.9,137.4
L07515_at,CBX5,17.8,43.6,7.9,50.1,5.6,23.2,15.3,21.2,4.7,12,30.8,4.3,6.7,2.5,11.8,9.9,92.3,10.6,13.1,41
L07540_at,RFC5,12.9,8,9,6.5,7,7.8,4.6,5.5,12.3,12,15.9,11.3,9.2,9.1,7.5,8.9,22.8,16.6,6.6,22.1
L07541_at,RFC3,46.9,48.5,16.5,14.3,24.8,42.2,17.7,31.9,46.5,18.5,22.3,9.9,51.8,25.8,36.6,19.4,30.5,29.1,29.7,58.1
L07548_at,ABHD14A-ACY1,224.5,123.7,213.3,211.3,190.6,164.5,176.7,209.5,206.8,194.9,184.9,345.8,157,203.4,210.7,173.7,189.2,271.4,203,205.1
L07590_at,PPP2R3A,5.6,61.7,33.8,22.9,5,31,2.9,14.7,19.3,6.9,4.6,36,7.1,2,31.3,36.2,45.6,15.4,21.6,29.1
L07592_at,PPARD,109.2,79.6,178.2,63.9,112.5,109.9,79.6,113.3,76.2,113.2,130.2,129.1,114.3,128.7,136.5,75.8,30.9,112.8,96.5,33.5
L07594_at,TGFBR3,121.7,77.2,85.3,137.1,713,218.6,34.6,224.9,334.6,175.2,354.7,42.2,58.4,276.4,49.8,58.9,66.2,143.5,137.5,251.6
L07597_at,RPS6KA1,1431.5,666.1,725.9,1252.3,1244.5,1059.5,1433.2,1330.9,1253.9,1091.1,1312.9,1311.8,962.8,1045.1,861.7,797.4,875.3,902.2,1127.2,1291.1
L07615_at,NPY1R,35.4,12.5,2.3,29.6,2.2,17.5,2.6,9.3,32.4,13.2,11.9,6.6,12.4,10.7,9.1,1.5,5.5,34.6,17.4,8.7
L07633_at,PSME1,7696.7,3504.9,4142.1,5308.2,5198.9,4785.8,3694.1,5679.4,5258.4,2953.6,4886.3,5810.9,4282.2,3018.5,3434.9,3223.1,2766.4,3428.1,3393,5143.9
L07648_at,MXI1,529.9,938.1,1166.2,3067,550.3,991.5,622.9,569.5,305.8,3934.2,652.2,605.4,999.1,674.4,410.1,496.6,294.9,198.4,430.3,302
L07738_at,CACNG1,88.2,78.9,73.4,146.3,62.1,66.4,135.2,97.6,69.8,61.4,51.2,81.5,169,54.8,181,138.2,43.8,77,126.9,78.7
L07758_at,PWP1,477.5,272.6,332.7,577.7,551.7,576.9,485.5,633.6,390.1,330.1,523.7,330.6,325.6,398.8,438.4,437.1,188.7,335.1,398.3,464.6
L07765_at,LOC100653086,191.5,179.5,414.1,165.2,127.1,200.1,368.8,275.5,239.4,198.8,256.5,659,197.9,433.3,303.3,153.2,471.6,308.9,78.2,240.1
L07807_s_at,DNM1,193.8,39.3,324.6,170.5,123.8,305.7,567.3,210.2,221.1,381.3,247.1,263.7,229.8,188.5,203.3,114.8,163.2,103.6,118.8,152.9
L07868_at,ERBB4,24.6,38.3,2.1,29.9,2.9,4.2,5.3,21.5,5.7,14.2,4.6,45.2,12,2.8,2.3,6.8,22.6,9.6,2.8,6.6
L07919_at,DLX2,42.1,12,9.1,8.2,8.1,4.1,19.3,2.1,7.6,7.6,19.7,28.1,8.8,8.6,4.5,3.7,3.3,4.4,18.3,2.8
L07949_at,GNRHR,6.2,4.4,2.8,10,12.8,3,10,2.8,12.3,1.8,4.4,5.2,2.7,3.4,3.1,0.7,1.9,4.7,0.9,1.2
L07956_at,GBE1,142.5,73.2,78.4,58.5,106.1,99.3,136.3,112.3,51.6,64.6,97.6,95.4,126.5,81.3,80.4,90,81.1,66.3,87,76.6
L08010_at,REG1B,98.6,88.7,114,86.5,72.9,87.9,92.5,73.5,94.1,55.6,47,55.7,94.9,30.5,102.9,102.2,59.5,71.1,97.7,102.2
L08044_s_at,TFF3,190.2,72.1,200.8,66.6,116.7,170.6,218.3,70.1,94.3,99.3,121.6,165,40.2,85.9,73.4,170.2,128.6,54.1,78.5,38.3
L08069_at,DNAJA1,1068.1,476,1285,667.5,783.2,840.7,838.3,1324.7,751.2,521.5,939.6,783.7,669.7,768,833.8,561.6,563.3,569.5,1102.7,887.4
