PROBE_ID_REF,GENE_IDENTIFIER,GSM12587,GSM12588,GSM12589,GSM12590,GSM12591,GSM12592,GSM12593,GSM12594,GSM12595,GSM12596,GSM12597,GSM12598,GSM12599,GSM12600,GSM12601,GSM12602,GSM12603,GSM12604,GSM12605,GSM12606
AB002559_at,STXBP2,1573.4,458.7,750.8,818.1,757.3,886.8,1344,1157.8,800.5,1209.8,1174.6,1251.5,637.5,1113.7,648.2,714.4,900.1,832.5,464.7,930.6
AB003102_at,PSMD11,440.1,235.2,219.1,328.7,496.1,554,456.6,641.7,398,187.3,323.6,314,179.4,239.1,381,338.7,201.6,214.8,426.6,402
AB003103_at,PSMD12,106.4,79.4,96.7,26.9,66.3,130.9,97.5,116.3,120.1,46.8,44.9,99.7,53.2,90.2,87.4,83.5,95.5,109.4,91.3,94.9
AB003177_at,PSMD9,1021.9,819.3,877.2,638.3,1156.2,1104.8,1117.2,1272.3,1076.7,1384.6,1282.4,968.8,803,1186,704,715.4,688.4,723,794.2,922.5
AB003698_at,CDC7,72,63.3,63.8,21.1,68.1,62.9,59,67.8,65.1,42.3,34.3,61,32.1,52.7,49.9,26.4,67.9,43.9,59.4,51.1
AB004884_at,TLK2,513.3,238.9,403.6,363.5,516.3,397.2,437.8,452.7,479.1,411.5,568,455.9,286.7,538.4,390.4,321.3,317.8,336.1,396.6,422.2
AB005535_s_at,CLOCK,5,23.8,2.8,5,4.4,0.9,3.7,4.2,4.8,5,1.6,3.5,7.1,4,8,5.2,15.3,7.7,4.3,8.1
AB006190_at,LOC101930168,172.7,188.1,199.4,206.3,201.2,209.5,219.7,171.2,198,124.1,141.8,243.9,177.3,128,233.5,143.9,213.6,326.6,203.7,227.4
AB006781_s_at,LGALS4,145.8,109.6,123.3,71.5,93,109.2,56.6,47,96.3,122.7,93,81.1,169.6,97.3,89.2,82.9,147.2,73,299.3,158.9
AB006782_at,LGALS9,4859.2,2224.1,2798.5,4413.1,1204.9,2463,1981.8,2813,2503.3,3513.8,4474.3,3142.8,3459.3,3820.8,1710.4,1422.7,2401,1639.3,2224.8,1153.1
AC000061_cds2_at,CFTR,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AC000061_cds3_at,CFTR,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AC000062_at,FRY,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AC000063_s_at,SEMA3F,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AC000064_cds1_at,GATAD1,84.8,232.1,75.1,240.5,399.4,347.6,392.8,295.2,131.5,466.5,535.9,122,87.2,440.5,322.2,238.5,272.6,286.8,429.5,372.2
AC000064_cds2_at,PEX1,63,87.3,76.3,59.2,93.5,103.3,71.8,79.5,66.3,66.3,98.1,74.8,61.9,83.8,94.8,84,83.3,99.7,112.2,120
AC000066_at,AKAP9,2.5,17.2,26.3,5.3,8.2,18.9,7.7,12.1,6.1,24.5,8,8.5,6.8,9.8,6.6,3.3,24,21.3,5.4,7.8
AC000099_at,GRM8,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AC000115_cds1_at,VGLL1,12.9,49,13.5,21.6,8.1,6.8,13.6,14.9,12.3,5.3,13.7,28.2,27.3,9,7.3,13.4,14.6,20.1,9.7,37.2
AC002045_xpt1_at,LOC101930075,161,38.9,74.9,98.2,104.8,107.2,68.2,141.9,144.6,75.2,118.6,126.7,144.5,71.5,122,162.4,71.7,178.1,95.7,94.5
