"","ob_time","hour","day","month","wind_speed","air_temperature","rltv_hum","visibility","Site"
"1","2020-01-01 00:00:00",0,1,1,6,4.1,100,600,409
"2","2020-01-01 01:00:00",1,1,1,8,4.2,98.3,500,409
"3","2020-01-01 02:00:00",2,1,1,8,5.2,96.8,420,409
"4","2020-01-01 03:00:00",3,1,1,6,5.5,95.2,400,409
"5","2020-01-01 04:00:00",4,1,1,8,5.7,95.2,430,409
"6","2020-01-01 05:00:00",5,1,1,5,5.8,90.7,450,409
"7","2020-01-01 06:00:00",6,1,1,8,5.3,87.2,600,409
"8","2020-01-01 07:00:00",7,1,1,5,5.1,88.6,600,409
"9","2020-01-01 08:00:00",8,1,1,5,4.8,88.5,500,409
"10","2020-01-01 09:00:00",9,1,1,5,4.4,90,500,409
"11","2020-01-01 10:00:00",10,1,1,5,4.7,88.4,500,409
"12","2020-01-01 11:00:00",11,1,1,4,4.7,86.9,480,409
"13","2020-01-01 12:00:00",12,1,1,4,4.7,85.2,470,409
"14","2020-01-01 13:00:00",13,1,1,6,4.7,85.2,480,409
"15","2020-01-01 14:00:00",14,1,1,6,4.5,86.6,500,409
"16","2020-01-01 15:00:00",15,1,1,10,3.7,87.9,450,409
"17","2020-01-01 16:00:00",16,1,1,7,3.7,87.9,500,409
"18","2020-01-01 17:00:00",17,1,1,6,3.9,89.7,470,409
"19","2020-01-01 18:00:00",18,1,1,6,4.3,88.2,480,409
"20","2020-01-01 19:00:00",19,1,1,5,4.4,90,490,409
"21","2020-01-01 20:00:00",20,1,1,6,4.7,91.8,500,409
"22","2020-01-01 21:00:00",21,1,1,7,4.9,91.9,500,409
"23","2020-01-01 22:00:00",22,1,1,5,5,91.9,500,409
"24","2020-01-01 23:00:00",23,1,1,7,5.2,93.4,500,409
"25","2020-01-02 00:00:00",0,2,1,8,5.2,95,500,409
"26","2020-01-02 01:00:00",1,2,1,9,5.1,95,370,409
"27","2020-01-02 02:00:00",2,2,1,7,5.2,95,360,409
"28","2020-01-02 03:00:00",3,2,1,7,5.4,95.2,420,409
"29","2020-01-02 04:00:00",4,2,1,11,5.7,95.2,500,409
"30","2020-01-02 05:00:00",5,2,1,11,6,90.7,900,409
"31","2020-01-02 06:00:00",6,2,1,12,6.5,86.4,1300,409
"32","2020-01-02 07:00:00",7,2,1,13,6.9,83.6,1800,409
"33","2020-01-02 08:00:00",8,2,1,14,7.1,83.7,1900,409
"34","2020-01-02 09:00:00",9,2,1,13,7.3,83.9,1900,409
"35","2020-01-02 10:00:00",10,2,1,14,7.4,88.3,1500,409
"36","2020-01-02 11:00:00",11,2,1,16,7.9,88.6,1500,409
"37","2020-01-02 12:00:00",12,2,1,18,8.5,84.7,1900,409
"38","2020-01-02 13:00:00",13,2,1,17,9.2,82.5,2200,409
"39","2020-01-02 14:00:00",14,2,1,14,9.2,82.5,2300,409
"40","2020-01-02 15:00:00",15,2,1,16,9.4,81.3,2400,409
"41","2020-01-02 16:00:00",16,2,1,15,9.2,82.6,2500,409
"42","2020-01-02 17:00:00",17,2,1,17,9.4,81.4,2200,409
"43","2020-01-02 18:00:00",18,2,1,15,9.3,82.6,2400,409
"44","2020-01-02 19:00:00",19,2,1,15,9.4,82.6,2400,409
"45","2020-01-02 20:00:00",20,2,1,15,9.3,85.2,2300,409
"46","2020-01-02 21:00:00",21,2,1,14,9.5,86.6,2300,409
"47","2020-01-02 22:00:00",22,2,1,15,9.4,86.6,2200,409
"48","2020-01-02 23:00:00",23,2,1,15,9.6,86.7,2100,409
"49","2020-01-03 00:00:00",0,3,1,16,9.9,86.9,2000,409
"50","2020-01-03 01:00:00",1,3,1,15,10.1,89.5,1900,409
"51","2020-01-03 02:00:00",2,3,1,16,10.1,90.8,2000,409
"52","2020-01-03 03:00:00",3,3,1,14,9.8,93.4,1600,409
"53","2020-01-03 04:00:00",4,3,1,11,9.6,96,700,409
"54","2020-01-03 05:00:00",5,3,1,7,9.4,98.6,450,409
"55","2020-01-03 06:00:00",6,3,1,9,9.5,100,430,409
"56","2020-01-03 07:00:00",7,3,1,10,9.6,98.7,1600,409
"57","2020-01-03 08:00:00",8,3,1,12,9.6,97.3,700,409
"58","2020-01-03 09:00:00",9,3,1,18,8.8,94.5,700,409
"59","2020-01-03 10:00:00",10,3,1,18,7.2,95.6,180,409
"60","2020-01-03 11:00:00",11,3,1,15,7.1,88.2,1900,409
"61","2020-01-03 12:00:00",12,3,1,12,6.4,96.9,700,409
"62","2020-01-03 13:00:00",13,3,1,12,6.8,88.1,2400,409
"63","2020-01-03 14:00:00",14,3,1,12,6.9,79.3,2300,409
"64","2020-01-03 15:00:00",15,3,1,11,6.4,72.9,2300,409
"65","2020-01-03 16:00:00",16,3,1,6,4.9,77.4,2200,409
"66","2020-01-03 17:00:00",17,3,1,6,3.1,79,2200,409
"67","2020-01-03 18:00:00",18,3,1,10,4.5,83.4,2100,409
"68","2020-01-03 19:00:00",19,3,1,9,4.2,83.3,1800,409
"69","2020-01-03 20:00:00",20,3,1,10,4.3,85,2000,409
"70","2020-01-03 21:00:00",21,3,1,10,3.5,87.8,1800,409
"71","2020-01-03 22:00:00",22,3,1,13,4.3,86.5,1900,409
"72","2020-01-03 23:00:00",23,3,1,10,3.8,87.9,2000,409
"73","2020-01-04 00:00:00",0,4,1,8,3,87.5,1900,409
"74","2020-01-04 01:00:00",1,4,1,6,2.4,90.9,1900,409
"75","2020-01-04 02:00:00",2,4,1,8,2.3,94.5,2100,409
"76","2020-01-04 03:00:00",3,4,1,5,2.9,92.7,2000,409
"77","2020-01-04 04:00:00",4,4,1,7,3.5,93,1900,409
"78","2020-01-04 05:00:00",5,4,1,10,4,91.5,2200,409
"79","2020-01-04 06:00:00",6,4,1,4,4,91.5,2200,409
"80","2020-01-04 07:00:00",7,4,1,5,2.8,92.8,2200,409
"81","2020-01-04 08:00:00",8,4,1,10,3.3,96.5,2500,409
"82","2020-01-04 09:00:00",9,4,1,9,4.5,93.2,2500,409
"83","2020-01-04 10:00:00",10,4,1,10,5.5,87.3,2500,409
"84","2020-01-04 11:00:00",11,4,1,9,6.2,86.2,2600,409
"85","2020-01-04 12:00:00",12,4,1,12,7.1,82.3,3000,409
"86","2020-01-04 13:00:00",13,4,1,13,7.6,82.7,2700,409
"87","2020-01-04 14:00:00",14,4,1,10,7.6,82.7,3000,409
"88","2020-01-04 15:00:00",15,4,1,9,7.5,82.5,2800,409
"89","2020-01-04 16:00:00",16,4,1,7,7.2,83.8,2900,409
"90","2020-01-04 17:00:00",17,4,1,6,6.2,87.7,2200,409
"91","2020-01-04 18:00:00",18,4,1,8,6.9,85,2400,409
"92","2020-01-04 19:00:00",19,4,1,7,6.7,86.4,2600,409
"93","2020-01-04 20:00:00",20,4,1,6,6.6,87.8,2600,409
"94","2020-01-04 21:00:00",21,4,1,8,6.9,83.5,2800,409
"95","2020-01-04 22:00:00",22,4,1,7,6.6,84.8,2900,409
"96","2020-01-04 23:00:00",23,4,1,6,6.4,86.2,2400,409
"97","2020-01-05 00:00:00",0,5,1,6,6.1,87.6,2700,409
"98","2020-01-05 01:00:00",1,5,1,7,6.3,86.2,3000,409
"99","2020-01-05 02:00:00",2,5,1,5,6,86.1,3500,409
"100","2020-01-05 03:00:00",3,5,1,6,6.2,86.2,3500,409
"101","2020-01-05 04:00:00",4,5,1,7,6.1,87.6,2800,409
"102","2020-01-05 05:00:00",5,5,1,8,6.3,87.6,3000,409
"103","2020-01-05 06:00:00",6,5,1,9,6.6,84.8,3500,409
"104","2020-01-05 07:00:00",7,5,1,9,6.3,90.8,2000,409
"105","2020-01-05 08:00:00",8,5,1,8,6.5,89.3,1800,409
"106","2020-01-05 09:00:00",9,5,1,10,6.5,90.9,2200,409
"107","2020-01-05 10:00:00",10,5,1,9,6.9,88,3000,409
"108","2020-01-05 11:00:00",11,5,1,11,7.2,88.2,3000,409
"109","2020-01-05 12:00:00",12,5,1,11,7.8,82.7,3500,409
"110","2020-01-05 13:00:00",13,5,1,13,7.8,87,2900,409
"111","2020-01-05 14:00:00",14,5,1,11,7.9,85.6,2600,409
"112","2020-01-05 15:00:00",15,5,1,10,7.9,87.1,3000,409
"113","2020-01-05 16:00:00",16,5,1,9,7.8,87,3000,409
"114","2020-01-05 17:00:00",17,5,1,9,7.7,87,3000,409
"115","2020-01-05 18:00:00",18,5,1,9,7.4,88.3,3000,409
"116","2020-01-05 19:00:00",19,5,1,9,7.3,88.2,1500,409
"117","2020-01-05 20:00:00",20,5,1,10,7.5,86.9,1500,409
"118","2020-01-05 21:00:00",21,5,1,9,7.2,88.2,1500,409
"119","2020-01-05 22:00:00",22,5,1,7,7.1,88.1,1500,409
"120","2020-01-05 23:00:00",23,5,1,10,7.1,85.2,1500,409
"121","2020-01-06 00:00:00",0,6,1,10,7,85.1,1500,409
"122","2020-01-06 01:00:00",1,6,1,10,6.7,84.9,2900,409
"123","2020-01-06 02:00:00",2,6,1,12,7,83.7,2800,409
"124","2020-01-06 03:00:00",3,6,1,11,7.2,80.9,1500,409
"125","2020-01-06 04:00:00",4,6,1,13,7,85.1,2400,409
"126","2020-01-06 05:00:00",5,6,1,13,7.3,81,1500,409
"127","2020-01-06 06:00:00",6,6,1,16,7,79.4,1500,409
"128","2020-01-06 07:00:00",7,6,1,15,6.4,77.2,1500,409
"129","2020-01-06 08:00:00",8,6,1,16,6.3,78.7,1500,409
"130","2020-01-06 09:00:00",9,6,1,14,6.2,80.2,1500,409
"131","2020-01-06 10:00:00",10,6,1,16,6.3,78.7,1500,409
"132","2020-01-06 11:00:00",11,6,1,19,6.5,76,1500,409
"133","2020-01-06 12:00:00",12,6,1,18,6.6,74.7,1500,409
"134","2020-01-06 13:00:00",13,6,1,16,7,76.5,1500,409
"135","2020-01-06 14:00:00",14,6,1,16,7.1,75.2,1500,409
"136","2020-01-06 15:00:00",15,6,1,18,7.3,75.5,1500,409
"137","2020-01-06 16:00:00",16,6,1,16,7.4,76.9,1500,409
"138","2020-01-06 17:00:00",17,6,1,13,7.1,83.8,1500,409
"139","2020-01-06 18:00:00",18,6,1,13,7.4,88.3,1000,409
"140","2020-01-06 19:00:00",19,6,1,11,7.3,92.6,1500,409
"141","2020-01-06 20:00:00",20,6,1,14,7,92.5,1500,409
"142","2020-01-06 21:00:00",21,6,1,10,6.5,93.9,1500,409
"143","2020-01-06 21:00:00",21,6,1,10,6.5,93.9,1500,409
"144","2020-01-06 22:00:00",22,6,1,7,5.6,95.3,1500,409
"145","2020-01-06 23:00:00",23,6,1,6,4.7,95.2,1500,409
"146","2020-01-07 00:00:00",0,7,1,3,4.8,95.2,1500,409
"147","2020-01-07 01:00:00",1,7,1,5,4.5,96.7,1600,409
"148","2020-01-07 02:00:00",2,7,1,8,3.5,96.6,1400,409
"149","2020-01-07 03:00:00",3,7,1,6,3.5,96.6,1500,409
"150","2020-01-07 04:00:00",4,7,1,5,2.9,96.4,1000,409
"151","2020-01-07 05:00:00",5,7,1,8,2.7,96.4,1000,409
"152","2020-01-07 06:00:00",6,7,1,9,3.8,96.6,1000,409
"153","2020-01-07 07:00:00",7,7,1,9,3.9,98.3,700,409
"154","2020-01-07 08:00:00",8,7,1,7,4.1,98.3,700,409
"155","2020-01-07 09:00:00",9,7,1,10,5.7,96.8,1200,409
"156","2020-01-07 10:00:00",10,7,1,14,6.8,91,1500,409
"157","2020-01-07 11:00:00",11,7,1,12,7.6,92.7,1500,409
"158","2020-01-07 12:00:00",12,7,1,16,9.5,83.9,1500,409
"159","2020-01-07 13:00:00",13,7,1,15,10.2,80.6,1500,409
"160","2020-01-07 14:00:00",14,7,1,16,9.8,84.2,1000,409
"161","2020-01-07 15:00:00",15,7,1,15,10.4,83.2,1500,409
"162","2020-01-07 16:00:00",16,7,1,17,10.7,83.4,1500,409
"163","2020-01-07 17:00:00",17,7,1,20,10.8,87.3,1000,409
"164","2020-01-07 18:00:00",18,7,1,19,11.1,88.7,1000,409
"165","2020-01-07 19:00:00",19,7,1,17,11.3,91.3,1000,409
"166","2020-01-07 20:00:00",20,7,1,21,11.9,92.5,1000,409
"167","2020-01-07 21:00:00",21,7,1,19,12.2,92.6,1000,409
"168","2020-01-07 22:00:00",22,7,1,18,12.5,91.6,1000,409
"169","2020-01-07 23:00:00",23,7,1,20,13.1,87.1,1000,409
"170","2020-01-08 00:00:00",0,8,1,18,13.1,84.9,1000,409
"171","2020-01-08 01:00:00",1,8,1,16,12.9,85.9,4000,409
