"","ob_time","hour","day","month","wind_speed","air_temperature","rltv_hum","visibility","Site"
"1","2020-01-01 00:00:00",0,1,1,4,3.2,91.2,500,708
"2","2020-01-01 01:00:00",1,1,1,5,2.8,92.8,160,708
"3","2020-01-01 02:00:00",2,1,1,4,4.2,96.6,420,708
"4","2020-01-01 03:00:00",3,1,1,5,4.7,91.8,380,708
"5","2020-01-01 04:00:00",4,1,1,3,4.6,91.7,450,708
"6","2020-01-01 05:00:00",5,1,1,5,4.4,91.6,400,708
"7","2020-01-01 06:00:00",6,1,1,3,4.6,90.1,480,708
"8","2020-01-01 07:00:00",7,1,1,3,5.2,88.7,600,708
"9","2020-01-01 08:00:00",8,1,1,1,4.1,91.6,490,708
"10","2020-01-01 09:00:00",9,1,1,2,4.7,91.8,500,708
"11","2020-01-01 10:00:00",10,1,1,3,5.2,90.3,500,708
"12","2020-01-01 11:00:00",11,1,1,2,5.9,87.5,500,708
"13","2020-01-01 12:00:00",12,1,1,5,5.9,86,600,708
"14","2020-01-01 13:00:00",13,1,1,4,6.1,86.1,800,708
"15","2020-01-01 14:00:00",14,1,1,2,6.3,87.6,700,708
"16","2020-01-01 15:00:00",15,1,1,4,6.3,87.6,800,708
"17","2020-01-01 16:00:00",16,1,1,3,6.2,87.7,700,708
"18","2020-01-01 17:00:00",17,1,1,4,6.3,87.6,1300,708
"19","2020-01-01 18:00:00",18,1,1,3,6.3,87.6,1100,708
"20","2020-01-01 19:00:00",19,1,1,5,6.3,89.2,700,708
"21","2020-01-01 20:00:00",20,1,1,6,6.4,90.7,800,708
"22","2020-01-01 21:00:00",21,1,1,5,6.6,89.4,800,708
"23","2020-01-01 22:00:00",22,1,1,4,6.8,91,700,708
"24","2020-01-01 23:00:00",23,1,1,5,6.7,92.4,600,708
"25","2020-01-02 00:00:00",0,2,1,5,6.8,94,600,708
"26","2020-01-02 01:00:00",1,2,1,6,6.9,94,800,708
"27","2020-01-02 02:00:00",2,2,1,8,6.9,94,900,708
"28","2020-01-02 03:00:00",3,2,1,6,6.8,95.4,900,708
"29","2020-01-02 04:00:00",4,2,1,8,6.7,95.4,700,708
"30","2020-01-02 05:00:00",5,2,1,8,6.9,94,900,708
"31","2020-01-02 06:00:00",6,2,1,7,7.1,94.1,1000,708
"32","2020-01-02 07:00:00",7,2,1,7,7.5,91.2,1500,708
"33","2020-01-02 08:00:00",8,2,1,7,7.9,91.4,1300,708
"34","2020-01-02 09:00:00",9,2,1,8,8,94.2,1400,708
"35","2020-01-02 10:00:00",10,2,1,8,8.5,93,2700,708
"36","2020-01-02 11:00:00",11,2,1,9,9.2,87.8,4000,708
"37","2020-01-02 12:00:00",12,2,1,10,9.8,85.4,4000,708
"38","2020-01-02 13:00:00",13,2,1,11,10.7,81,3500,708
"39","2020-01-02 14:00:00",14,2,1,13,10.8,77.3,3500,708
"40","2020-01-02 15:00:00",15,2,1,15,10.5,77.1,2700,708
"41","2020-01-02 16:00:00",16,2,1,13,10,81.8,2700,708
"42","2020-01-02 17:00:00",17,2,1,13,9.9,84.3,3500,708
"43","2020-01-02 18:00:00",18,2,1,12,9.7,90.6,3000,708
"44","2020-01-02 19:00:00",19,2,1,10,9.5,96,3000,708
"45","2020-01-02 20:00:00",20,2,1,12,10,88.2,2300,708
"46","2020-01-02 21:00:00",21,2,1,14,10.4,85.8,2900,708
"47","2020-01-02 22:00:00",22,2,1,13,10.6,85.9,3000,708
"48","2020-01-02 23:00:00",23,2,1,15,10.5,87.2,2000,708
"49","2020-01-03 00:00:00",0,3,1,14,10.1,93.4,370,708
"50","2020-01-03 01:00:00",1,3,1,10,9.7,98.7,500,708
"51","2020-01-03 02:00:00",2,3,1,9,10,97.4,380,708
"52","2020-01-03 03:00:00",3,3,1,10,10.3,97.4,1300,708
"53","2020-01-03 04:00:00",4,3,1,13,10.7,96.2,270,708
"54","2020-01-03 05:00:00",5,3,1,12,10.2,93.5,6000,708
"55","2020-01-03 06:00:00",6,3,1,11,10,93.5,3500,708
"56","2020-01-03 07:00:00",7,3,1,12,10.1,94.7,4500,708
"57","2020-01-03 08:00:00",8,3,1,11,9.9,96.1,4000,708
"58","2020-01-03 09:00:00",9,3,1,12,9.8,96,700,708
"59","2020-01-03 10:00:00",10,3,1,14,8.5,83.3,2900,708
"60","2020-01-03 11:00:00",11,3,1,10,8.3,75,2700,708
"61","2020-01-03 12:00:00",12,3,1,10,8.2,66.7,3000,708
"62","2020-01-03 13:00:00",13,3,1,12,8.3,61.6,3000,708
"63","2020-01-03 14:00:00",14,3,1,11,8.6,59.4,3000,708
"64","2020-01-03 15:00:00",15,3,1,9,8.5,60.5,3000,708
"65","2020-01-03 16:00:00",16,3,1,8,7.7,64.7,2800,708
"66","2020-01-03 17:00:00",17,3,1,6,6.9,69.1,2900,708
"67","2020-01-03 18:00:00",18,3,1,5,6.4,72.8,2700,708
"68","2020-01-03 19:00:00",19,3,1,6,5.9,76.9,2800,708
"69","2020-01-03 20:00:00",20,3,1,6,5.3,77.8,2700,708
"70","2020-01-03 21:00:00",21,3,1,6,5.3,76.1,2700,708
"71","2020-01-03 22:00:00",22,3,1,5,4.8,78.8,2600,708
"72","2020-01-03 23:00:00",23,3,1,9,5.3,76.1,2700,708
"73","2020-01-04 00:00:00",0,4,1,5,3.1,80.6,2500,708
"74","2020-01-04 01:00:00",1,4,1,7,2.8,91,2100,708
"75","2020-01-04 02:00:00",2,4,1,7,3,89.2,2200,708
"76","2020-01-04 03:00:00",3,4,1,5,3.6,89.5,2500,708
"77","2020-01-04 04:00:00",4,4,1,6,4.3,86.5,2700,708
"78","2020-01-04 05:00:00",5,4,1,9,5.3,84,3000,708
"79","2020-01-04 06:00:00",6,4,1,8,5.3,85.6,2900,708
"80","2020-01-04 07:00:00",7,4,1,7,5.1,85.4,2800,708
"81","2020-01-04 08:00:00",8,4,1,9,5.5,84.2,3000,708
"82","2020-01-04 09:00:00",9,4,1,10,6,84.5,3000,708
"83","2020-01-04 10:00:00",10,4,1,10,6.9,79.1,3000,708
"84","2020-01-04 11:00:00",11,4,1,13,7.7,77.1,3500,708
"85","2020-01-04 12:00:00",12,4,1,10,7.8,75.6,4000,708
"86","2020-01-04 13:00:00",13,4,1,14,8.4,73.5,4000,708
"87","2020-01-04 14:00:00",14,4,1,14,8.8,70,5000,708
"88","2020-01-04 15:00:00",15,4,1,9,8.6,68.4,5500,708
"89","2020-01-04 16:00:00",16,4,1,7,8.7,68.6,5000,708
"90","2020-01-04 17:00:00",17,4,1,8,7.9,73,4500,708
"91","2020-01-04 18:00:00",18,4,1,6,7.9,74.4,4500,708
"92","2020-01-04 19:00:00",19,4,1,5,7.3,78,3000,708
"93","2020-01-04 20:00:00",20,4,1,5,7.4,81,3000,708
"94","2020-01-04 21:00:00",21,4,1,5,7.1,82.3,3000,708
"95","2020-01-04 22:00:00",22,4,1,6,6.9,85,2900,708
"96","2020-01-04 23:00:00",23,4,1,6,6.5,87.8,2400,708
"97","2020-01-05 00:00:00",0,5,1,6,6.6,89.3,2300,708
"98","2020-01-05 01:00:00",1,5,1,6,6.9,91,2600,708
"99","2020-01-05 02:00:00",2,5,1,5,6.9,91,2900,708
"100","2020-01-05 03:00:00",3,5,1,7,7.1,89.6,4000,708
"101","2020-01-05 04:00:00",4,5,1,7,7,91,4000,708
"102","2020-01-05 05:00:00",5,5,1,9,6.6,93.8,200,708
