"","ob_time","hour","day","month","wind_speed","air_temperature","rltv_hum","visibility","Site"
"1",2020-01-01 00:00:00,0,1,1,24,8,81.8,1000,4
"2",2020-01-01 01:00:00,1,1,1,20,8,81.8,1000,4
"3",2020-01-01 02:00:00,2,1,1,24,8,76.3,1000,4
"4",2020-01-01 03:00:00,3,1,1,26,8,81.8,1000,4
"5",2020-01-01 04:00:00,4,1,1,26,8,81.8,1000,4
"6",2020-01-01 05:00:00,5,1,1,28,8,87.3,1000,4
"7",2020-01-01 06:00:00,6,1,1,26,9,81.2,1000,4
"8",2020-01-01 07:00:00,7,1,1,20,9,81.2,800,4
"9",2020-01-01 08:00:00,8,1,1,20,8,87.3,1000,4
"10",2020-01-01 09:00:00,9,1,1,30,9,81.2,1000,4
"11",2020-01-01 10:00:00,10,1,1,28,9,81.2,1000,4
"12",2020-01-01 11:00:00,11,1,1,19,9,81.2,700,4
"13",2020-01-01 12:00:00,12,1,1,25,9,81.2,1000,4
"14",2020-01-01 13:00:00,13,1,1,28,9,87.8,1000,4
"15",2020-01-01 14:00:00,14,1,1,28,9,87.8,1000,4
"16",2020-01-01 15:00:00,15,1,1,25,9,87.8,900,4
"17",2020-01-01 16:00:00,16,1,1,22,9,81.2,800,4
"18",2020-01-01 17:00:00,17,1,1,19,9,81.2,900,4
"19",2020-01-01 18:00:00,18,1,1,18,9,81.2,1000,4
"20",2020-01-01 19:00:00,19,1,1,19,9,81.2,1000,4
"21",2020-01-01 20:00:00,20,1,1,21,8,87.3,1000,4
"22",2020-01-01 21:00:00,21,1,1,24,8,87.3,1000,4
"23",2020-01-01 22:00:00,22,1,1,20,8,81.8,1000,4
"24",2020-01-01 23:00:00,23,1,1,23,8,81.8,1000,4
"25",2020-01-02 00:00:00,0,2,1,23,8,81.8,1000,4
"26",2020-01-02 01:00:00,1,2,1,23,9,76,1000,4
"27",2020-01-02 02:00:00,2,2,1,22,9,81.2,1000,4
"28",2020-01-02 03:00:00,3,2,1,22,9,81.2,1000,4
"29",2020-01-02 04:00:00,4,2,1,23,9,81.2,800,4
"30",2020-01-02 05:00:00,5,2,1,21,9,81.2,600,4
"31",2020-01-02 06:00:00,6,2,1,16,9,81.2,1000,4
"32",2020-01-02 07:00:00,7,2,1,19,9,81.2,1000,4
"33",2020-01-02 08:00:00,8,2,1,24,10,75.6,1000,4
"34",2020-01-02 09:00:00,9,2,1,25,10,75.6,1000,4
"35",2020-01-02 10:00:00,10,2,1,27,10,75.6,1000,4
"36",2020-01-02 11:00:00,11,2,1,24,9,87.8,900,4
"37",2020-01-02 12:00:00,12,2,1,24,10,81.9,900,4
"38",2020-01-02 13:00:00,13,2,1,25,9,87.8,1000,4
"39",2020-01-02 14:00:00,14,2,1,27,9,87.8,1000,4
"40",2020-01-02 15:00:00,15,2,1,25,9,87.8,1000,4
"41",2020-01-02 16:00:00,16,2,1,25,9,81.2,1000,4
"42",2020-01-02 17:00:00,17,2,1,25,9,87.8,1000,4
"43",2020-01-02 18:00:00,18,2,1,24,9,87.8,1000,4
"44",2020-01-02 19:00:00,19,2,1,23,7,86.8,270,4
"45",2020-01-02 20:00:00,20,2,1,22,5,93.5,600,4
"46",2020-01-02 21:00:00,21,2,1,22,7,81,800,4
"47",2020-01-02 22:00:00,22,2,1,26,7,65.5,1000,4
"48",2020-01-02 23:00:00,23,2,1,29,6,75.8,1000,4
"49",2020-01-03 00:00:00,0,3,1,34,7,65.5,1000,4
"50",2020-01-03 01:00:00,1,3,1,35,6,75.8,1000,4
"51",2020-01-03 02:00:00,2,3,1,34,6,65.5,700,4
"52",2020-01-03 03:00:00,3,3,1,29,5,74.7,1000,4
"53",2020-01-03 04:00:00,4,3,1,27,5,74.7,600,4
"54",2020-01-03 05:00:00,5,3,1,28,5,65.4,1000,4
"55",2020-01-03 06:00:00,6,3,1,22,6,65.5,1000,4
"56",2020-01-03 07:00:00,7,3,1,27,5,70,1000,4
"57",2020-01-03 08:00:00,8,3,1,27,5,65.4,1000,4
"58",2020-01-03 09:00:00,9,3,1,34,5,80.9,1000,4
"59",2020-01-03 10:00:00,10,3,1,38,5,80.9,900,4
