"","ob_time","hour","day","month","wind_speed","air_temperature","rltv_hum","visibility","Site"
"1","2020-01-01 00:00:00",0,1,1,2,0,100,500,79
"2","2020-01-01 01:00:00",1,1,1,1,1,92.2,450,79
"3","2020-01-01 02:00:00",2,1,1,1,1,100,230,79
"4","2020-01-01 03:00:00",3,1,1,2,2,92.6,250,79
"5","2020-01-01 04:00:00",4,1,1,1,2,100,220,79
"6","2020-01-01 05:00:00",5,1,1,2,2,100,240,79
"7","2020-01-01 06:00:00",6,1,1,2,3,100,410,79
"8","2020-01-01 07:00:00",7,1,1,2,3,100,470,79
"9","2020-01-01 08:00:00",8,1,1,4,5,93.5,700,79
"10","2020-01-01 09:00:00",9,1,1,5,6,93.9,1000,79
"11","2020-01-01 10:00:00",10,1,1,3,7,81,1000,79
"12","2020-01-01 11:00:00",11,1,1,7,7,81,1000,79
"13","2020-01-01 12:00:00",12,1,1,6,7,81,1000,79
"14","2020-01-01 13:00:00",13,1,1,9,7,81,1000,79
"15","2020-01-01 14:00:00",14,1,1,15,7,81,1000,79
"16","2020-01-01 15:00:00",15,1,1,13,7,75.3,1000,79
"17","2020-01-01 16:00:00",16,1,1,11,7,81,1000,79
"18","2020-01-01 17:00:00",17,1,1,9,7,81,1000,79
"19","2020-01-01 18:00:00",18,1,1,13,7,75.3,1000,79
"20","2020-01-01 19:00:00",19,1,1,14,7,75.3,1000,79
"21","2020-01-01 20:00:00",20,1,1,12,7,75.3,1000,79
"22","2020-01-01 21:00:00",21,1,1,11,7,81,1000,79
"23","2020-01-01 22:00:00",22,1,1,6,7,81,1000,79
"24","2020-01-01 23:00:00",23,1,1,3,7,81,1000,79
"25","2020-01-02 00:00:00",0,2,1,10,8,81.8,1000,79
"26","2020-01-02 01:00:00",1,2,1,11,8,81.8,1000,79
"27","2020-01-02 02:00:00",2,2,1,14,8,81.8,1000,79
"28","2020-01-02 03:00:00",3,2,1,15,8,81.8,1000,79
"29","2020-01-02 04:00:00",4,2,1,13,8,81.8,1000,79
"30","2020-01-02 05:00:00",5,2,1,9,8,81.8,1000,79
"31","2020-01-02 06:00:00",6,2,1,13,8,81.8,1000,79
"32","2020-01-02 07:00:00",7,2,1,13,8,81.8,1000,79
"33","2020-01-02 08:00:00",8,2,1,14,9,81.2,1000,79
"34","2020-01-02 09:00:00",9,2,1,13,9,87.8,1000,79
"35","2020-01-02 10:00:00",10,2,1,14,9,81.2,1000,79
"36","2020-01-02 11:00:00",11,2,1,20,9,87.8,1000,79
"37","2020-01-02 12:00:00",12,2,1,18,9,93.2,500,79
"38","2020-01-02 13:00:00",13,2,1,20,9,93.2,700,79
"39","2020-01-02 14:00:00",14,2,1,19,9,93.2,500,79
"40","2020-01-02 15:00:00",15,2,1,25,10,93.5,500,79
"41","2020-01-02 16:00:00",16,2,1,25,10,93.5,1000,79
"42","2020-01-02 17:00:00",17,2,1,21,11,87.4,1000,79
"43","2020-01-02 18:00:00",18,2,1,20,11,87.4,600,79
"44","2020-01-02 19:00:00",19,2,1,21,10,93.5,900,79
"45","2020-01-02 20:00:00",20,2,1,21,10,93.5,330,79
"46","2020-01-02 21:00:00",21,2,1,19,10,93.5,250,79
"47","2020-01-02 22:00:00",22,2,1,17,10,87,1000,79
"48","2020-01-02 23:00:00",23,2,1,18,7,81,1000,79
"49","2020-01-03 00:00:00",0,3,1,11,6,75.8,1000,79
"50","2020-01-03 01:00:00",1,3,1,11,6,69.8,1000,79
"51","2020-01-03 02:00:00",2,3,1,6,5,74.7,1000,79
"52","2020-01-03 03:00:00",3,3,1,6,4,80.1,1000,79
"53","2020-01-03 04:00:00",4,3,1,6,5,74.7,1000,79
"54","2020-01-03 05:00:00",5,3,1,4,4,80.1,1000,79
"55","2020-01-03 06:00:00",6,3,1,4,3,86,1000,79
"56","2020-01-03 07:00:00",7,3,1,2,4,75.2,1000,79
"57","2020-01-03 08:00:00",8,3,1,7,5,74.7,1000,79
"58","2020-01-03 09:00:00",9,3,1,10,3,86,1000,79
"59","2020-01-03 10:00:00",10,3,1,10,3,86,1000,79
"60","2020-01-03 11:00:00",11,3,1,7,5,87.2,1000,79
"61","2020-01-03 12:00:00",12,3,1,11,6,81.7,1000,79
"62","2020-01-03 13:00:00",13,3,1,8,6,81.7,1000,79
"63","2020-01-03 14:00:00",14,3,1,11,7,71.2,1000,79
"64","2020-01-03 15:00:00",15,3,1,12,6,81.7,1000,79
"65","2020-01-03 16:00:00",16,3,1,15,6,81.7,1000,79
"66","2020-01-03 17:00:00",17,3,1,15,6,81.7,1000,79
"67","2020-01-03 18:00:00",18,3,1,11,6,81.7,1000,79
"68","2020-01-03 19:00:00",19,3,1,18,7,86.8,900,79
"69","2020-01-03 20:00:00",20,3,1,15,7,81,1000,79
"70","2020-01-03 21:00:00",21,3,1,14,7,86.8,1000,79
"71","2020-01-03 22:00:00",22,3,1,13,7,86.8,1000,79
"72","2020-01-03 23:00:00",23,3,1,10,7,86.8,1000,79
"73","2020-01-04 00:00:00",0,4,1,14,8,81.8,1000,79
"74","2020-01-04 01:00:00",1,4,1,15,8,81.8,1000,79
"75","2020-01-04 02:00:00",2,4,1,17,8,87.3,1000,79
"76","2020-01-04 03:00:00",3,4,1,17,8,87.3,1000,79
"77","2020-01-04 04:00:00",4,4,1,17,8,87.3,1000,79
"78","2020-01-04 05:00:00",5,4,1,18,8,87.3,1000,79
"79","2020-01-04 06:00:00",6,4,1,17,8,87.3,1000,79
"80","2020-01-04 07:00:00",7,4,1,10,8,87.3,1000,79
"81","2020-01-04 08:00:00",8,4,1,13,8,87.3,1000,79
"82","2020-01-04 09:00:00",9,4,1,10,8,87.3,1000,79
"83","2020-01-04 10:00:00",10,4,1,8,8,92.9,1000,79
"84","2020-01-04 11:00:00",11,4,1,9,9,87.8,1000,79
"85","2020-01-04 12:00:00",12,4,1,8,9,87.8,1000,79
"86","2020-01-04 13:00:00",13,4,1,9,9,93.2,1000,79
"87","2020-01-04 14:00:00",14,4,1,13,9,87.8,1000,79
"88","2020-01-04 15:00:00",15,4,1,12,8,92.9,700,79
"89","2020-01-04 16:00:00",16,4,1,14,8,92.9,1000,79
"90","2020-01-04 17:00:00",17,4,1,14,7,100,1000,79
