"","ob_time","hour","day","month","wind_speed","air_temperature","rltv_hum","visibility","Site"
"1","2020-01-01 00:00:00",0,1,1,5,7.3,85.3,1500,1226
"2","2020-01-01 01:00:00",1,1,1,5,7.4,81.1,1600,1226
"3","2020-01-01 02:00:00",2,1,1,5,7.4,78.3,1700,1226
"4","2020-01-01 03:00:00",3,1,1,7,7.2,80.9,1200,1226
"5","2020-01-01 04:00:00",4,1,1,4,7,82.1,1200,1226
"6","2020-01-01 05:00:00",5,1,1,2,6.8,83.6,1000,1226
"7","2020-01-01 06:00:00",6,1,1,3,6.7,83.5,1100,1226
"8","2020-01-01 07:00:00",7,1,1,4,6.5,86.4,900,1226
"9","2020-01-01 08:00:00",8,1,1,3,6.6,84.9,900,1226
"10","2020-01-01 09:00:00",9,1,1,3,6.6,84.9,1000,1226
"11","2020-01-01 10:00:00",10,1,1,2,6.7,87.9,800,1226
"12","2020-01-01 11:00:00",11,1,1,6,7,88,800,1226
"13","2020-01-01 12:00:00",12,1,1,8,7.2,88.2,900,1226
"14","2020-01-01 13:00:00",13,1,1,7,7.3,91.2,800,1226
"15","2020-01-01 14:00:00",14,1,1,8,7.5,92.7,500,1226
"16","2020-01-01 15:00:00",15,1,1,9,7.4,95.5,500,1226
"17","2020-01-01 16:00:00",16,1,1,7,7.5,97.1,600,1226
"18","2020-01-01 17:00:00",17,1,1,11,8,97.2,700,1226
"19","2020-01-01 18:00:00",18,1,1,6,8.3,95.7,600,1226
"20","2020-01-01 19:00:00",19,1,1,8,8.4,92.9,800,1226
"21","2020-01-01 20:00:00",20,1,1,10,7.6,92.7,800,1226
"22","2020-01-01 21:00:00",21,1,1,11,8.6,90.3,900,1226
"23","2020-01-01 22:00:00",22,1,1,13,8.3,90.1,900,1226
"24","2020-01-01 23:00:00",23,1,1,14,9,83.7,1500,1226
"25","2020-01-02 00:00:00",0,2,1,15,8.9,82.2,1900,1226
"26","2020-01-02 01:00:00",1,2,1,15,8.8,84.8,1900,1226
"27","2020-01-02 02:00:00",2,2,1,15,8.8,83.5,1800,1226
"28","2020-01-02 03:00:00",3,2,1,16,8.7,87.6,1500,1226
"29","2020-01-02 04:00:00",4,2,1,16,8.9,86.2,1500,1226
"30","2020-01-02 05:00:00",5,2,1,18,9.1,87.8,1900,1226
"31","2020-01-02 06:00:00",6,2,1,15,9.2,89.2,1200,1226
"32","2020-01-02 07:00:00",7,2,1,20,9.4,82.5,1600,1226
"33","2020-01-02 08:00:00",8,2,1,19,9.5,85.3,1000,1226
"34","2020-01-02 09:00:00",9,2,1,16,9.5,89.2,700,1226
"35","2020-01-02 10:00:00",10,2,1,21,9.9,85.5,800,1226
"36","2020-01-02 11:00:00",11,2,1,21,9.2,97.3,90,1226
"37","2020-01-02 12:00:00",12,2,1,23,9.3,95.9,700,1226
"38","2020-01-02 13:00:00",13,2,1,23,9.8,93.3,500,1226
"39","2020-01-02 14:00:00",14,2,1,24,9.5,97.3,190,1226
"40","2020-01-02 15:00:00",15,2,1,27,9.8,96,700,1226
"41","2020-01-02 16:00:00",16,2,1,26,10,96.1,500,1226
"42","2020-01-02 17:00:00",17,2,1,29,10.4,92.2,230,1226
"43","2020-01-02 18:00:00",18,2,1,27,10.1,97.3,170,1226
